date,location,procedure_count,alert
31/12/2025,חדרה,27,NO_STAFF_COVERAGE
31/10/2025,חדרה,57,NO_STAFF_COVERAGE
31/10/2025,בת ים - גסטרו,37,NO_STAFF_COVERAGE
30/12/2025,בת ים - עיניים,1,NO_STAFF_COVERAGE
30/12/2025,חדרה,48,NO_STAFF_COVERAGE
30/11/2025,חדרה,81,NO_STAFF_COVERAGE
30/11/2025,בת ים - גסטרו,59,NO_STAFF_COVERAGE
30/10/2025,חדרה,41,NO_STAFF_COVERAGE
30/10/2025,בת ים - גסטרו,35,NO_STAFF_COVERAGE
29/12/2025,חדרה,34,NO_STAFF_COVERAGE
29/10/2025,בת ים - גסטרו,42,NO_STAFF_COVERAGE
29/10/2025,בת ים - עיניים,10,NO_STAFF_COVERAGE
29/10/2025,חדרה,20,NO_STAFF_COVERAGE
28/12/2025,חדרה,39,NO_STAFF_COVERAGE
28/12/2025,בת ים - גסטרו,49,NO_STAFF_COVERAGE
28/11/2025,בת ים - גסטרו,33,NO_STAFF_COVERAGE
28/11/2025,חדרה,77,NO_STAFF_COVERAGE
28/10/2025,חדרה,3,NO_STAFF_COVERAGE
28/10/2025,בת ים - גסטרו,45,NO_STAFF_COVERAGE
27/12/2025,חדרה,1,NO_STAFF_COVERAGE
27/11/2025,חדרה,18,NO_STAFF_COVERAGE
27/11/2025,בת ים - גסטרו,39,NO_STAFF_COVERAGE
27/10/2025,בת ים - עיניים,23,NO_STAFF_COVERAGE
27/10/2025,חדרה,28,NO_STAFF_COVERAGE
27/10/2025,בת ים - גסטרו,40,NO_STAFF_COVERAGE
26/12/2025,בת ים - גסטרו,32,NO_STAFF_COVERAGE
26/12/2025,חדרה,68,NO_STAFF_COVERAGE
26/11/2025,בת ים - גסטרו,17,NO_STAFF_COVERAGE
26/11/2025,חדרה,35,NO_STAFF_COVERAGE
26/10/2025,חדרה,76,NO_STAFF_COVERAGE
26/10/2025,בת ים - גסטרו,56,NO_STAFF_COVERAGE
25/12/2025,חדרה,54,NO_STAFF_COVERAGE
25/11/2025,בת ים - גסטרו,28,NO_STAFF_COVERAGE
25/11/2025,חדרה,58,NO_STAFF_COVERAGE
25/11/2025,בת ים - עיניים,20,NO_STAFF_COVERAGE
