date,location,procedure_count,first_procedure,last_procedure,shifts_count,first_shift_start,last_shift_end
31/12/2025,בת ים - גסטרו,20,08:00,17:20,1,06:32,14:01
31/12/2025,חדרה,27,08:41,19:15,0,,
31/10/2025,חדרה,57,07:00,12:20,0,,
31/10/2025,בת ים - גסטרו,37,06:55,13:05,0,,
30/12/2025,בת ים - עיניים,1,09:00,09:30,0,,
30/12/2025,בת ים - גסטרו,53,07:00,20:10,1,06:30,13:57
30/12/2025,חדרה,48,09:00,18:45,0,,
30/11/2025,חדרה,81,08:00,22:15,0,,
30/11/2025,בת ים - גסטרו,59,07:30,20:05,0,,
30/10/2025,בת ים - גסטרו,35,07:00,19:00,0,,
30/10/2025,חדרה,41,08:00,16:35,0,,
29/12/2025,חדרה,34,08:30,20:20,0,,
29/12/2025,בת ים - גסטרו,21,07:15,18:00,1,14:08,18:56
29/10/2025,בת ים - גסטרו,42,07:00,19:15,0,,
29/10/2025,בת ים - עיניים,10,09:00,14:55,0,,
29/10/2025,חדרה,20,08:00,20:20,0,,
28/12/2025,חדרה,39,08:00,19:30,0,,
28/12/2025,בת ים - גסטרו,49,07:00,20:05,0,,
28/11/2025,בת ים - גסטרו,33,06:40,12:30,0,,
28/11/2025,חדרה,77,07:30,14:15,0,,
28/10/2025,בת ים - גסטרו,45,07:00,20:20,0,,
28/10/2025,חדרה,3,18:15,20:30,0,,
27/12/2025,חדרה,1,19:23,19:53,0,,
27/11/2025,חדרה,18,08:00,11:30,0,,
27/11/2025,בת ים - גסטרו,39,07:00,19:40,0,,
27/10/2025,חדרה,28,08:45,20:00,0,,
27/10/2025,בת ים - עיניים,23,09:00,18:30,0,,
27/10/2025,בת ים - גסטרו,40,07:00,19:30,0,,
26/12/2025,בת ים - גסטרו,32,06:55,12:40,0,,
26/12/2025,חדרה,68,08:00,14:25,0,,
26/11/2025,חדרה,35,08:00,19:00,0,,
26/11/2025,בת ים - גסטרו,17,07:00,12:00,0,,
26/10/2025,חדרה,76,08:00,18:40,0,,
26/10/2025,בת ים - גסטרו,56,07:00,19:20,0,,
25/12/2025,בת ים - גסטרו,49,07:00,18:50,1,06:32,11:58
25/12/2025,חדרה,54,08:00,17:05,0,,
25/11/2025,בת ים - עיניים,20,09:00,18:30,0,,
25/11/2025,חדרה,58,09:00,20:05,0,,
25/11/2025,בת ים - גסטרו,28,06:40,13:00,0,,
24/12/2025,בת ים - גסטרו,53,07:00,20:00,1,06:36,21:01
24/12/2025,חדרה,18,10:45,19:45,0,,
24/12/2025,בת ים - עיניים,1,10:00,10:30,0,,
24/11/2025,בת ים - גסטרו,39,07:15,20:30,0,,
24/11/2025,חדרה,38,08:30,21:00,0,,
24/10/2025,חדרה,62,06:00,14:35,0,,
24/10/2025,בת ים - גסטרו,28,05:55,11:30,0,,
23/12/2025,חדרה,45,08:00,20:00,0,,
23/12/2025,בת ים - גסטרו,51,07:00,18:10,0,,
23/11/2025,חדרה,114,08:00,20:35,0,,
23/11/2025,בת ים - גסטרו,58,07:00,19:20,0,,
23/10/2025,בת ים - גסטרו,46,06:00,17:45,0,,
23/10/2025,חדרה,66,06:30,20:15,0,,
22/12/2025,בת ים - גסטרו,39,07:30,20:20,1,14:03,21:14
22/12/2025,בת ים - עיניים,1,09:30,10:00,0,,
22/12/2025,חדרה,24,08:00,17:40,0,,
22/10/2025,חדרה,16,14:30,18:25,0,,
22/10/2025,בת ים - גסטרו,60,06:00,19:20,0,,
21/12/2025,בת ים - גסטרו,54,07:00,19:30,0,,
21/12/2025,חדרה,29,08:00,20:30,0,,
21/12/2025,בת ים - עיניים,1,09:00,09:30,0,,
21/11/2025,בת ים - גסטרו,33,06:55,13:30,0,,
21/11/2025,חדרה,60,08:00,15:45,0,,
21/10/2025,חדרה,51,07:00,19:15,0,,
21/10/2025,בת ים - גסטרו,27,06:00,18:00,0,,
20/11/2025,בת ים - גסטרו,43,07:00,18:00,0,,
20/11/2025,חדרה,88,08:00,20:45,0,,
20/10/2025,בת ים - עיניים,1,08:00,08:30,0,,
20/10/2025,חדרה,23,07:15,17:50,0,,
20/10/2025,בת ים - גסטרו,34,06:15,18:10,0,,
19/12/2025,חדרה,19,08:00,13:05,0,,
19/12/2025,בת ים - גסטרו,39,07:00,12:50,0,,
19/11/2025,חדרה,8,09:00,19:13,0,,
19/11/2025,בת ים - גסטרו,56,07:00,18:25,0,,
19/11/2025,בת ים - עיניים,1,08:00,08:30,0,,
19/10/2025,בת ים - גסטרו,61,06:00,19:20,0,,
19/10/2025,חדרה,57,07:00,19:25,0,,
18/12/2025,חדרה,28,08:00,19:00,0,,
18/12/2025,בת ים - גסטרו,30,07:20,14:35,1,06:33,12:58
18/11/2025,חדרה,54,09:00,20:30,0,,
18/11/2025,בת ים - גסטרו,50,07:00,19:50,0,,
17/12/2025,בת ים - גסטרו,34,08:00,19:15,1,07:11,14:10
17/12/2025,חדרה,26,15:30,19:49,0,,
17/11/2025,חדרה,34,08:00,13:00,0,,
17/11/2025,בת ים - גסטרו,46,07:15,18:40,0,,
17/10/2025,חדרה,59,06:30,14:40,0,,
17/10/2025,בת ים - גסטרו,26,05:55,11:50,0,,
16/12/2025,בת ים - גסטרו,47,07:00,19:35,1,06:44,13:45
16/12/2025,חדרה,60,09:00,21:00,0,,
16/12/2025,בת ים - עיניים,1,09:00,09:30,0,,
16/11/2025,חדרה,62,08:00,20:00,0,,
16/11/2025,בת ים - גסטרו,60,06:30,20:20,0,,
16/10/2025,חדרה,29,08:00,18:45,0,,
16/10/2025,בת ים - גסטרו,47,06:00,17:30,0,,
15/12/2025,חדרה,41,08:00,18:30,0,,
15/12/2025,בת ים - גסטרו,31,07:10,12:45,0,,
15/10/2025,חדרה,32,07:30,17:30,0,,
15/10/2025,בת ים - גסטרו,29,12:45,19:30,0,,
14/12/2025,בת ים - עיניים,1,09:00,09:30,0,,
14/12/2025,בת ים - גסטרו,62,07:00,20:05,1,06:35,20:31
14/12/2025,חדרה,70,08:00,21:00,0,,
14/11/2025,בת ים - גסטרו,17,07:20,12:25,0,,
14/11/2025,חדרה,46,08:00,15:05,0,,
13/11/2025,חדרה,71,08:00,21:05,0,,
13/11/2025,בת ים - גסטרו,46,07:00,18:50,0,,
13/10/2025,חדרה,14,07:00,10:45,0,,
13/10/2025,בת ים - גסטרו,8,06:30,09:20,0,,
12/12/2025,בת ים - גסטרו,36,07:00,14:49,0,,
12/12/2025,חדרה,43,08:20,16:25,0,,
12/11/2025,בת ים - גסטרו,23,08:20,19:20,0,,
12/11/2025,חדרה,53,08:00,20:00,0,,
12/10/2025,בת ים - גסטרו,37,05:45,12:30,0,,
12/10/2025,חדרה,62,07:00,18:00,0,,
11/12/2025,בת ים - גסטרו,41,07:00,18:50,0,,
11/12/2025,חדרה,68,08:00,20:25,0,,
11/11/2025,חדרה,18,09:00,12:30,0,,
11/11/2025,בת ים - עיניים,1,08:15,08:45,0,,
11/11/2025,בת ים - גסטרו,62,07:00,19:45,0,,
11/10/2025,בת ים - עיניים,7,14:04,14:44,0,,
10/12/2025,חדרה,9,17:00,19:20,0,,
10/12/2025,בת ים - גסטרו,40,07:20,19:40,0,,
10/11/2025,בת ים - גסטרו,50,07:00,20:10,0,,
10/11/2025,בת ים - עיניים,1,09:00,09:30,0,,
10/11/2025,חדרה,33,08:00,19:18,0,,
10/10/2025,חדרה,54,06:30,16:05,0,,
09/12/2025,חדרה,60,09:00,20:30,0,,
09/12/2025,בת ים - עיניים,23,08:30,17:25,0,,
09/12/2025,בת ים - גסטרו,58,07:00,19:50,2,06:39,20:09
09/11/2025,בת ים - גסטרו,62,07:00,20:05,0,,
09/11/2025,חדרה,43,07:45,20:30,0,,
09/10/2025,חדרה,46,07:00,18:45,0,,
09/10/2025,בת ים - גסטרו,42,06:00,18:30,0,,
08/12/2025,חדרה,33,08:00,19:15,0,,
08/12/2025,בת ים - גסטרו,22,07:10,17:50,2,06:36,20:30
08/10/2025,חדרה,25,08:30,18:30,0,,
07/12/2025,חדרה,41,08:00,20:05,0,,
07/12/2025,בת ים - גסטרו,49,07:00,19:20,0,,
07/11/2025,בת ים - גסטרו,31,06:55,12:50,0,,
07/11/2025,חדרה,44,08:00,15:00,0,,
06/11/2025,בת ים - גסטרו,46,07:00,18:55,0,,
